时间,点1温度,点2温度,点3温度,点4温度,点5温度,点6温度,点7温度,点8温度
2019/3/12 11:52:39,12.5,13.5,15.0,18,20,21,25,60,80
2019/3/12 11:52:42,12.5,13.5,15.0,18,20,21,25,60,81
2019/3/12 11:52:45,12.5,13.5,15.0,18,20,21,25,60,82
2019/3/12 11:52:49,12.5,13.5,15.0,18,20,21,25,60,83
2019/3/12 11:52:52,12.5,13.5,15.0,18,20,21,25,60,84
2019/3/12 11:52:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 11:56:14,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 11:56:15,12.5,13.5,15.0,18,20,21,25,60,8512.5,13.5,15.0,18,20,21,25,60,8512.5,13.5,15.0,18,20,21,25,60,8512.5,13.5,15.0,18,20,21,25,60,8512.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 11:56:50,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 11:56:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 11:56:52,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:01:52,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:02:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:06,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:10,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:03:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:05:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:12:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:12:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:12:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:12:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:12:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:00,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:21,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:23,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:25,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:27,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:29,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:31,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:33,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:35,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:37,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:39,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:41,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:43,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:45,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:47,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:49,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:51,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:53,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:55,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:57,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:14:59,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:01,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:03,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:05,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:07,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:09,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:11,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:13,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:15,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:17,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:19,12.5,13.5,15.0,18,20,21,25,60,85
2019/3/12 12:15:21,12.5,13.5,15.0,18,20,21,25,60,85
